Session,BillURL,DateAccessed,BillName,BillType,BillCat,UKPB_Bill,UKPB_Act,RoyalAssent,RoyalAssentDate,LastChange,Stage,NumberofStages,FirstStageDate,LastStageDate,FirsStageName,LastStageName,Sponsor1,Sponsor2,Sponsor1Inst,Sponsor2Inst,Agent,Promoter,LatestStg-BillPage,LatestStgDate-Billpage,NextStg-Billpage,NextStgDate-Billpage,BillTxtLnk1,BillTxtLnk2,BillTxtDate,BillTxtTitle,LatestNews,Summary,mpnameuseful,mpid_twfy,mpid_grdn,mpparty,mpmajority,mpentered,mpyearentered,mpconstituency,constid_grdn,mpmatch,NumParagraphsTotal,NumParagraphsBody,NumParagraphsSchedules,LegGovUkLink,DocYear,DocMainType,DocEnactmentDate,DocCat,ActNameLGUK
2013-14,http://services.parliament.uk//bills/2013-14/armedforcespreventionofdiscrimination.html,20140413_170732,Armed Forces (Prevention of Discrimination) Bill,Private Members' Bill (Presentation Bill),PMB-C,Yes,No,No,NA,14.02.2014,Commons,3,24.06.2013,09.05.2014,1st reading: House of Commons,2nd reading: House of Commons,Thomas Docherty,NA,,NA,NA,NA,2nd reading: House of Commons,24.01.2014,2nd reading: House of Commons,09.05.2014,http://www.publications.parliament.uk/pa/bills/cbill/2013-2014/0071/cbill_2013-20140071_en_1.htm,http://www.publications.parliament.uk/pa/bills/cbill/2013-2014/0071/140071.pdf,16.01.2014,Bill 71 2013-14 (as introduced),, u'\r\n            A Bill to provide that certain offences committed towards members of the armed forces shall be treated as aggravated; to prohibit discrimination against individuals in terms of provision of goods and services on the grounds that they are members of the armed forces; and for connected purposes. \r\n           \r\n        ',Thomas Docherty,24730,6427,Labour,5470,2010-05-06,2010,Dunfermline and West Fife,889,OK,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-14,http://services.parliament.uk//bills/2013-14/assisteddying.html,20140413_170732,Assisted Dying Bill [HL],Private Members' Bill (Starting in the House of Lords),PMB-L,Yes,No,No,NA,16.05.2013,Lords,1,15.05.2013,15.05.2013,1st reading: House of Lords,1st reading: House of Lords,Lord Falconer of Thoroton,NA,,NA,NA,NA,1st reading: House of Lords,15.05.2013,NA,NA,http://www.publications.parliament.uk/pa/bills/lbill/2013-2014/0024/lbill_2013-20140024_en_1.htm,http://www.publications.parliament.uk/pa/bills/lbill/2013-2014/0024/2014024.pdf,16.05.2013,HL Bill 024  2013-14 (as introduced),, u'\r\n            A Bill To enable competent adults who are terminally ill to be provided at their request with specified assistance to end their own life; and for connected purposes.\r\n           \r\n        ',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-14,http://services.parliament.uk//bills/2013-14/asylumtimelimit.html,20140413_170732,Asylum (Time Limit) Bill,Private Members' Bill (Presentation Bill),PMB-C,Yes,No,No,NA,06.03.2014,Commons,2,24.06.2013,16.05.2014,1st reading: House of Commons,2nd reading: House of Commons,Mr Christopher Chope,NA,,NA,NA,NA,1st reading: House of Commons,24.06.2013,2nd reading: House of Commons,16.05.2014,http://www.publications.parliament.uk/pa/bills/cbill/2013-2014/0061/cbill_2013-20140061_en_1.htm,http://www.publications.parliament.uk/pa/bills/cbill/2013-2014/0061/14061.pdf,16.10.2013,"Bill 61  2013-2014, as introduced",, u'\r\n            A Bill to require that asylum claims in the United Kingdom be lodged within three months of the claimant\u2019s arrival in the United Kingdom; and that persons who have already entered the United Kingdom and wish to make an asylum claim must do so within three months of the passing of this Act. \r\n           \r\n        ',Christopher Chope,10103,941,Conservative,15410,1983-06-09,1983,Christchurch,821,OK,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-14,http://services.parliament.uk//bills/2013-14/asylumseekersreturntonearestsafecountry.html,20140413_170732,Asylum Seekers (Return to Nearest Safe Country) Bill,Private Members' Bill (Presentation Bill),PMB-C,Yes,No,No,NA,12.02.2014,Commons,2,24.06.2013,Date to be announced,1st reading: House of Commons,2nd reading: House of Commons,Mr Philip Hollobone,NA,,NA,NA,NA,1st reading: House of Commons,24.06.2013,2nd reading: House of Commons,Date to be announced,http://www.publications.parliament.uk/pa/bills/cbill/2013-2014/0036/cbill_2013-20140036_en_1.htm,http://www.publications.parliament.uk/pa/bills/cbill/2013-2014/0036/14036.pdf,24.10.2013,"Bill 36 2013-2014, as introduced",, u'\r\n            A Bill to facilitate the transfer of asylum seekers to the safe country nearest their country of origin. \r\n           \r\n        ',Philip Hollobone,11661,5964,Conservative,9094,2005-05-05,2005,Kettering,1053,OK,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-14,http://services.parliament.uk//bills/2013-14/bbctrusteeelectionandlicencefee.html,20140413_170732,BBC (Trustee Election and Licence Fee) Bill [HL],Private Members' Bill (Starting in the House of Lords),PMB-L,Yes,No,No,NA,31.07.2013,Lords,1,30.07.2013,30.07.2013,1st reading: House of Lords,1st reading: House of Lords,Lord Pearson of Rannoch,NA,,NA,NA,NA,1st reading: House of Lords,30.07.2013,NA,NA,http://www.publications.parliament.uk/pa/bills/lbill/2013-2014/0047/lbill_2013-20140047_en_1.htm,http://www.publications.parliament.uk/pa/bills/lbill/2013-2014/0047/140047.pdf,31.07.2013,HL Bill 47 2013-14 (as introduced),First reading took place on 30 July. This stage is a formality that signals the start of the Bill's journey through the Lords., u'\r\n            To make provision for election of the trustees of the BBC by licence fee payers; and in relation to civil enforcement of non-payment of TV licence fees.\r\n           \r\n        ',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-14,http://services.parliament.uk//bills/2013-14/bbclicencefeecivildebt.html,20140413_170732,BBC Licence Fee (Civil Debt) Bill,Private Members' Bill (Presentation Bill),PMB-C,Yes,No,No,NA,12.02.2014,Commons,2,24.06.2013,Date to be announced,1st reading: House of Commons,2nd reading: House of Commons,Mr Philip Hollobone,NA,,NA,NA,NA,1st reading: House of Commons,24.06.2013,2nd reading: House of Commons,Date to be announced,http://www.publications.parliament.uk/pa/bills/cbill/2013-2014/0046/cbill_2013-20140046_en_1.htm,http://www.publications.parliament.uk/pa/bills/cbill/2013-2014/0046/14046.pdf,22.11.2013,"Bill 46 2013-2014, as introduced",, u'\r\n            A Bill to make provision to decriminalise the non-payment of the BBC licence fee.\r\n           \r\n        ',Philip Hollobone,11661,5964,Conservative,9094,2005-05-05,2005,Kettering,1053,OK,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-14,http://services.parliament.uk//bills/2013-14/bbcprivatisation.html,20140413_170732,BBC Privatisation Bill,Private Members' Bill (Presentation Bill),PMB-C,Yes,No,No,NA,07.02.2014,Commons,2,24.06.2013,Date to be announced,1st reading: House of Commons,2nd reading: House of Commons,Mr Peter Bone,NA,,NA,NA,NA,1st reading: House of Commons,24.06.2013,2nd reading: House of Commons,Date to be announced,NA,NA,NA,NA,, u'\r\n            A Bill to make provision for the privatisation of the British Broadcasting Corporation by providing shares in the Corporation to all licence fee payers.\r\n           \r\n        ',Peter Bone,11915,6172,Conservative,11787,2005-05-05,2005,Wellingborough,1413,OK,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-14,http://services.parliament.uk//bills/2013-14/benefitclaimantsautomatictransfertoalternativebenefits.html,20140413_170732,Benefit Claimants (Automatic Transfer to Alternative Benefits) Bill,"Private Members' Bill (under the Ten Minute Rule, SO No 23)",PMB-C,Yes,No,No,NA,20.12.2013,Commons,2,05.11.2013,Date to be announced,1st reading: House of Commons,2nd reading: House of Commons,John Hemming,NA,,NA,NA,NA,1st reading: House of Commons,05.11.2013,2nd reading: House of Commons,Date to be announced,NA,NA,NA,NA,, u'\r\n            A Bill to ensure that individuals claiming state benefits are automatically enrolled onto alternative benefits to which they are entitled when a benefit ceases to be applicable; and for connected purposes.\r\n           \r\n        ',John Hemming,11420,8896,Liberal Democrat,3002,2005-05-05,2005,"Birmingham, Yardley",725,OK,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-14,http://services.parliament.uk//bills/2013-14/benefitentitlementrestriction.html,20140413_170732,Benefit Entitlement (Restriction) Bill,Private Members' Bill (Presentation Bill),PMB-C,Yes,No,No,NA,20.01.2014,Commons,3,24.06.2013,Date to be announced,1st reading: House of Commons,2nd reading: House of Commons,Mr Christopher Chope,NA,,NA,NA,NA,2nd reading: House of Commons,17.01.2014,2nd reading: House of Commons,Date to be announced,http://www.publications.parliament.uk/pa/bills/cbill/2013-2014/0062/cbill_2013-20140062_en_1.htm,http://www.publications.parliament.uk/pa/bills/cbill/2013-2014/0062/14062.pdf,15.01.2014,"Bill 62 2013-2014, as introduced",, u'\r\n            A Bill to make provision to restrict the entitlement of non-UK Citizens from the European Union and the European Economic Area to taxpayer-funded benefits.\r\n           \r\n        ',Christopher Chope,10103,941,Conservative,15410,1983-06-09,1983,Christchurch,821,OK,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-14,http://services.parliament.uk//bills/2013-14/brownhareprotection.html,20140413_170732,Brown Hare (Protection) Bill,"Private Members' Bill (under the Ten Minute Rule, SO No 23)",PMB-C,Yes,No,No,NA,10.04.2014,Commons,2,18.03.2014,06.06.2014,1st reading: House of Commons,2nd reading: House of Commons,Sir John Randall,NA,,NA,NA,NA,1st reading: House of Commons,18.03.2014,2nd reading: House of Commons,06.06.2014,NA,NA,NA,NA,, u'\r\n            A Bill to make provision for a close season for the hunting of the brown hare; and for connected purposes.\r\n           \r\n        ',John Randall,10660,4331,Conservative,11216,1997-07-31,1997,Uxbridge and South Ruislip,1539,OK,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-14,http://services.parliament.uk//bills/2013-14/buckinghamshirecountycouncil%20filming%20on%20highways.html,20140413_170732,Buckinghamshire County Council (Filming on Highways) Bill,Private Bill,PB,No,No,No,NA,07.04.2014,Lords,5,27.11.2013,Date to be announced,Petition to introduce a Private Bill presented to Parliament,3rd reading: House of Lords,NA,NA,NA,NA,Sharpe Pritchard,Buckinghamshire County Council,Uncorrected Transcript for Unopposed Bill Committee: House of Lords,27.03.2014,3rd reading: House of Lords,Date to be announced,http://www.publications.parliament.uk/pa/privbill/201314/bucks/130114/2014001.htm,http://www.publications.parliament.uk/pa/privbill/201314/bucks/130114/36010.pdf,27.01.2014,Bill (as introduced in the Lords),," u'\n'  If you are ""specially and directly affected"" by this bill you may oppose the bill or seek its amendment before a Select Committee in either or both Houses.  If you present a ""petition"" against the bill at the appropriate times you may be able to have your views on the bill heard by the Committee (in whichever House you petition). There are specific times when petitions can be presented.    House of Lords  - The petitioning period for the House of Lords ran from 22 January 2014 to 5pm on 6 February 2014. There will be no further opportunity to petition against the Bill in the House of Lords.    House of Commons  - If the Bill reaches the House of Commons there will be a 10 day period when petitions may be presented to the House of Commons beginning on the day following First Reading in that House. The dates will be posted here when known.    Further information about petitioning  can be found by following the link or you can  contact</a> one of the Private Bill Offices.  Staff in either office will be happy to answer any questions you may have about the process of opposing a private bill.</p> u'\n' <h2>Summary of the Buckinghamshire County Council (Filming on Highways) Bill 2013-14</h2> u'\r\n            A Bill to confer powers on Buckinghamshire County Council in relation to filming on highways; and for related purposes.\r\n           \r\n        '",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-14,http://services.parliament.uk//bills/2013-14/capitalpunishment.html,20140413_170732,Capital Punishment Bill,Private Members' Bill (Presentation Bill),PMB-C,Yes,No,No,NA,27.01.2014,Commons,2,24.06.2013,Date to be announced,1st reading: House of Commons,2nd reading: House of Commons,Mr Philip Hollobone,NA,,NA,NA,NA,1st reading: House of Commons,24.06.2013,2nd reading: House of Commons,Date to be announced,NA,NA,NA,NA,, u'\r\n            A Bill to allow for capital punishment for certain offences. \r\n           \r\n        ',Philip Hollobone,11661,5964,Conservative,9094,2005-05-05,2005,Kettering,1053,OK,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-14,http://services.parliament.uk//bills/2013-14/care.html,20140413_170732,Care Bill [HL],Government Bill,G,Yes,No,No,NA,26.03.2014,Lords,41,09.05.2013,07.05.2014,1st reading: House of Lords,Ping Pong,Earl Howe,Mr Jeremy Hunt,Department of Health,Department of Health,NA,NA,3rd reading: House of Commons,11.03.2014,Ping Pong,07.05.2014,http://www.publications.parliament.uk/pa/bills/lbill/2013-2014/0093/14093.htm,http://www.publications.parliament.uk/pa/bills/lbill/2013-2014/0093/14093.pdf,13.03.2014,"HL Bill 93 2013-14, Commons Amendments",," u'\r\n            A Bill to reform the law relating to care and support for adults and the law relating to support for carers, to make provision about safeguarding adults from abuse or neglect, to make provision about care standards, to establish and make provision about Health Education England, to establish and make provision about the Health Research Authority, and for connected purposes.\r\n           \r\n        '",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-14,http://services.parliament.uk//bills/2013-14/causingdeathbydrivingwhilstdisqualified.html,20140413_170732,Causing Death by Driving Whilst Disqualified Bill,Private Members' Bill (Presentation Bill),PMB-C,Yes,No,No,NA,14.02.2014,Commons,2,02.12.2013,06.06.2014,1st reading: House of Commons,2nd reading: House of Commons,Rehman Chishti,NA,,NA,NA,NA,1st reading: House of Commons,02.12.2013,2nd reading: House of Commons,06.06.2014,NA,NA,NA,NA,, u'\r\n            A Bill to increase the maximum penalty for causing death by driving whilst disqualified to fourteen years and an unlimited fine.\r\n           \r\n        ',Rehman Chishti,24920,12561,Conservative,8680,2010-05-06,2010,Gillingham and Rainham,1496,OK,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-14,http://services.parliament.uk//bills/2013-14/charitablestatusforreligiousinstitutions.html,20140413_170732,Charitable Status for Religious Institutions Bill,Private Members' Bill (Presentation Bill),PMB-C,Yes,No,No,NA,16.01.2014,Commons,2,24.06.2013,Date to be announced,1st reading: House of Commons,2nd reading: House of Commons,Mr Peter Bone,NA,,NA,NA,NA,1st reading: House of Commons,24.06.2013,2nd reading: House of Commons,Date to be announced,http://www.publications.parliament.uk/pa/bills/cbill/2013-2014/0052/cbill_2013-20140052_en_1.htm,http://www.publications.parliament.uk/pa/bills/cbill/2013-2014/0052/14052.pdf,27.11.2013,"Bill 52 2013-2014, as introduced",, u'\r\n            A Bill to make provision for a presumption that religious institutions meet the public benefit test for charitable status. \r\n           \r\n        ',Peter Bone,11915,6172,Conservative,11787,2005-05-05,2005,Wellingborough,1413,OK,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-14,http://services.parliament.uk//bills/2013-14/childmaltreatment.html,20140413_170732,Child Maltreatment Bill,Private Members' Bill (Ballot Bill),PMB-C,Yes,No,No,NA,03.03.2014,Commons,2,19.06.2013,Date to be announced,1st reading: House of Commons,2nd reading: House of Commons,Mr Mark Williams,NA,,NA,NA,NA,1st reading: House of Commons,19.06.2013,2nd reading: House of Commons,Date to be announced,http://www.publications.parliament.uk/pa/bills/cbill/2013-2014/0023/cbill_2013-20140023_en_1.htm,http://www.publications.parliament.uk/pa/bills/cbill/2013-2014/0023/14023.pdf,09.07.2013,"Bill 23, 2013-2014 as ordered by the House of Commons",, u'\r\n            A Bill to make provision about the physical and emotional welfare of children; and for connected purposes.\r\n           \r\n        ',Mark Williams,11489,6606,Liberal Democrat,8324,2005-05-05,2005,Ceredigion,803,OK,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-14,http://services.parliament.uk//bills/2013-14/childrenandfamilies.html,20140413_170732,Children and Families Act 2014,Government Bill,G,Yes,Yes,Yes,13.03.2014,14.03.2014,Royal Assent,53,04.02.2013,13.03.2014,1st reading: House of Commons,Royal Assent,Michael Gove,Lord Nash,Department for Education,Department for Education,NA,NA,Royal Assent,13.03.2014,NA,NA,http://www.legislation.gov.uk/ukpga/2014/6/contents/enacted/data.htm,NA,13.03.2014,Children and Families Act 2014 c.6,, u'\n'  The Bill seeks to reform legislation relating to the following areas:    adoption and children in care  aspects of the family justice system</li><li>children and young people with special educational needs</li><li>the Office of the Children’s Commissioner for England</li><li>statutory rights to leave and pay for parents and adopters</li><li>time off work for ante-natal care</li><li>the right to request flexible working</li></ul> u'\n',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,567,202,365,http://www.legislation.gov.uk/ukpga/2014/6/contents/enacted/data.xml,2014,UnitedKingdomPublicGeneralAct,2014-03-13,primary,Children and Families Act 2014
2013-14,http://services.parliament.uk//bills/2013-14/citizenshiparmedforces.html,20140413_170732,Citizenship (Armed Forces) Act 2014,Private Members' Bill (Ballot Bill),PMB-C,Yes,Yes,Yes,13.03.2014,14.03.2014,Royal Assent,11,19.06.2013,13.03.2014,1st reading: House of Commons,Royal Assent,Jonathan Lord,Lord Trefgarne,,,NA,NA,Royal Assent,13.03.2014,NA,NA,http://www.legislation.gov.uk/ukpga/2014/8/contents/enacted/data.htm,NA,13.03.2014,Citizenship (Armed Forces) Act 2014 c.8,, u'\r\n            A Bill to make provision in connection with applications for naturalisation as a British citizen made by members or former members of the armed forces.\r\n           \r\n        ',Jonathan Lord,24884,12578,Conservative,6807,2010-05-06,2010,Woking,1445,OK,2,2,0,http://www.legislation.gov.uk/ukpga/2014/8/contents/data.xml,2014,UnitedKingdomPublicGeneralAct,2014-03-13,primary,Citizenship (Armed Forces) Act 2014
